Geography,Total Under 5 years,Total 5 to 9 years,Total 10 to 14 years,Total 15 to 29 years,Total 20 to 24 years,Total 25 to 29 years,Total 30 to 34 years,Total 35 to 39 years,Total 40 to 44 years,Total 45 to 49 years,Total 50 to 54 years,Total 55 to 59 years,Total 60 to 64 years,Total 65 to 69 years,Total 70 to 74 years,Total 75 to 79 years,Total 80 to 84 years,Total 85 years and over,Year,RegionName,State
0500000US08035,5.9,7.7,8.5,7.5,4.8,4.7,5.9,6.7,8.7,8.8,7.7,6.8,5.4,4.1,3.0,1.9,1.1,0.9,2016,Douglas County,Colorado
0500000US08041,6.9,6.9,6.7,6.9,8.4,8.2,7.4,6.7,5.7,5.9,6.4,6.8,5.0,4.9,2.7,1.9,1.4,1.3,2016,El Paso County,Colorado
0500000US08059,5.3,5.7,5.7,5.9,5.9,7.0,7.2,7.1,5.9,6.7,7.3,7.7,7.0,6.0,3.5,2.6,1.8,1.7,2016,Jefferson County,Colorado
0500000US08069,5.2,5.4,6.0,7.1,11.0,7.7,6.4,6.3,5.8,5.7,6.0,6.5,6.2,5.9,3.3,2.3,1.4,1.9,2016,Larimer County,Colorado
0500000US08077,6.3,7.0,5.5,7.0,7.2,6.0,5.8,5.4,6.5,5.5,6.2,6.9,6.8,6.1,4.2,2.9,2.3,2.4,2016,Mesa County,Colorado
0500000US08101,5.9,6.8,6.2,5.9,7.2,6.3,6.4,6.4,5.5,5.8,6.4,6.8,6.6,5.6,4.6,3.4,2.1,2.1,2016,Pueblo County,Colorado
0500000US08123,7.3,8.3,6.7,7.3,6.5,7.3,7.3,8.0,5.4,6.4,6.0,6.5,5.2,4.2,3.2,1.8,1.3,1.2,2016,Weld County,Colorado
0500000US09001,5.6,6.4,6.7,7.2,6.4,5.5,5.9,5.8,6.7,7.4,7.9,7.3,6.3,4.7,3.4,2.3,2.1,2.3,2016,Fairfield County,Connecticut
0500000US09003,5.4,5.6,6.4,6.7,6.5,6.5,6.6,5.5,6.6,6.7,7.5,7.3,6.5,5.4,3.6,2.4,2.1,2.7,2016,Hartford County,Connecticut
0500000US09005,4.1,4.5,6.3,5.9,5.5,5.0,4.8,6.3,4.9,7.3,8.7,8.8,8.2,6.4,5.3,3.2,2.1,3.1,2016,Litchfield County,Connecticut
0500000US09007,4.2,4.4,6.2,6.1,6.8,4.9,5.3,5.3,5.6,7.6,8.5,8.6,7.6,6.2,4.4,2.9,2.1,3.1,2016,Middlesex County,Connecticut
0500000US09009,5.2,5.4,6.1,7.0,7.1,6.8,6.5,6.0,5.7,6.8,7.3,7.2,6.6,5.4,3.7,2.6,2.1,2.4,2016,New Haven County,Connecticut
0500000US09011,5.1,5.3,5.8,6.7,7.5,6.1,6.1,5.8,5.8,6.8,7.4,7.6,7.1,5.7,4.1,2.9,1.6,2.5,2016,New London County,Connecticut
0500000US09013,3.9,5.4,5.0,9.7,13.5,5.2,4.7,4.8,4.7,6.3,8.0,6.9,7.1,5.0,3.8,2.7,1.7,1.6,2016,Tolland County,Connecticut
0500000US09015,4.9,5.3,5.7,7.0,7.7,6.2,6.3,5.5,6.1,7.0,7.8,7.5,7.5,5.8,3.3,2.8,1.7,1.9,2016,Windham County,Connecticut
0500000US10001,6.4,6.5,6.3,7.2,6.9,7.1,7.1,5.3,6.0,5.8,6.6,6.8,5.4,5.2,4.7,3.4,1.8,1.5,2016,Kent County,Delaware
0500000US10003,5.8,5.7,6.6,6.8,6.5,7.8,6.8,5.7,6.5,6.7,7.2,7.0,6.3,5.3,3.3,2.6,1.6,1.9,2016,New Castle County,Delaware
0500000US10005,5.2,5.3,5.3,4.6,5.1,5.2,5.2,4.5,5.5,5.5,6.5,8.6,7.8,9.7,6.3,4.7,2.6,2.3,2016,Sussex County,Delaware
0500000US11001,6.4,5.1,3.9,5.5,8.6,11.6,11.1,8.3,6.2,5.8,5.6,5.2,5.1,4.0,2.8,1.9,1.4,1.5,2016,District of Columbia,District of Columbia
